id,name,producerName,id,name,subscribersCount,data
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,4,Province e Città Metropolitane,3,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":3}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,5,Pubbliche Amministrazioni Centrali,2,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,7,Regioni e Province autonome,9,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":9}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,9,Scuole,3,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""9"",""name"":""Scuole"",""subscribersCount"":3}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,12,Stazioni Appaltanti e Gestori di pubblici servizi,10,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":10}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,13,Privati,15,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""13"",""name"":""Privati"",""subscribersCount"":15}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,1,Altre Pubbliche Amministrazioni locali,1,"{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,3,Comuni,17,"{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":17}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,5,Pubbliche Amministrazioni Centrali,1,"{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,7,Regioni e Province autonome,3,"{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":3}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,10,Università e AFAM,3,"{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""10"",""name"":""Università e AFAM"",""subscribersCount"":3}}"
0,Totale,Agenzia delle Entrate,1,Altre Pubbliche Amministrazioni locali,2,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":2}}"
0,Totale,Agenzia delle Entrate,3,Comuni,1,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
0,Totale,Agenzia delle Entrate,5,Pubbliche Amministrazioni Centrali,2,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}}"
0,Totale,Agenzia delle Entrate,7,Regioni e Province autonome,4,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":4}}"
0,Totale,Agenzia delle Entrate,12,Stazioni Appaltanti e Gestori di pubblici servizi,1,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":1}}"
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1,Altre Pubbliche Amministrazioni locali,3,"{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":3}}"
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",5,Pubbliche Amministrazioni Centrali,2,"{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}}"
