id,name,date,count,totalCount,onboardedCount,startingDate
2,Aziende Ospedaliere e ASL,2023-06-14T00:00:00.000Z,4,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-06-24T00:00:00.000Z,4,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-07-04T00:00:00.000Z,4,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-07-14T00:00:00.000Z,4,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-07-24T00:00:00.000Z,6,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-08-03T00:00:00.000Z,6,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-08-13T00:00:00.000Z,8,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-08-23T00:00:00.000Z,8,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-09-02T00:00:00.000Z,10,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-09-12T00:00:00.000Z,10,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-09-22T00:00:00.000Z,11,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-02T00:00:00.000Z,11,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-12T00:00:00.000Z,11,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-22T00:00:00.000Z,13,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-01T00:00:00.000Z,17,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-11T00:00:00.000Z,17,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-21T00:00:00.000Z,18,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-01T00:00:00.000Z,18,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-11T00:00:00.000Z,18,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-21T00:00:00.000Z,18,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-31T00:00:00.000Z,18,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-10T00:00:00.000Z,20,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-20T00:00:00.000Z,21,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-30T00:00:00.000Z,22,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-02-09T00:00:00.000Z,22,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-02-19T00:00:00.000Z,22,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-02-29T00:00:00.000Z,22,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-03-10T00:00:00.000Z,22,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-03-20T00:00:00.000Z,23,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-03-30T00:00:00.000Z,25,245,25,2023-04-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-04-09T00:00:00.000Z,25,245,25,2023-04-09T00:00:00.000Z
3,Comuni,2023-04-05T00:00:00.000Z,278,8546,5681,2023-04-09T00:00:00.000Z
3,Comuni,2023-04-15T00:00:00.000Z,303,8546,5681,2023-04-09T00:00:00.000Z
3,Comuni,2023-04-25T00:00:00.000Z,312,8546,5681,2023-04-09T00:00:00.000Z
3,Comuni,2023-05-05T00:00:00.000Z,332,8546,5681,2023-04-09T00:00:00.000Z
