id,name,eserviceName,producerName,subscribersCount
6,Enti Nazionali di Previdenza ed Assistenza Sociale,data-service-directory_SDG,Agenzia per L'Italia Digitale,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,service-catalogue_SDG,Agenzia per L'Italia Digitale,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C020-servizioAccertamentoResidenza,Ministero dell'Interno,1
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C001–servizioNotifica,Ministero dell'Interno,1
6,Enti Nazionali di Previdenza ed Assistenza Sociale,PreviewSpace_SDG,Agenzia per L'Italia Digitale,1
6,Enti Nazionali di Previdenza ed Assistenza Sociale,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
7,Regioni e Province Autonome,arch-common-service_SDG,Agenzia per L'Italia Digitale,11
7,Regioni e Province Autonome,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,5
7,Regioni e Province Autonome,service-catalogue_SDG,Agenzia per L'Italia Digitale,4
7,Regioni e Province Autonome,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,3
7,Regioni e Province Autonome,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,2
7,Regioni e Province Autonome,evidence-broker_SDG,Agenzia per L'Italia Digitale,2
7,Regioni e Province Autonome,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,2
7,Regioni e Province Autonome,C010-servizioVerificaDichStatoLibero-approvazione_automatica,Ministero dell'Interno,2
7,Regioni e Province Autonome,C013-servizioVerificaDichMaternita-approvazione_automatica,Ministero dell'Interno,2
7,Regioni e Province Autonome,C006-servizioVerificaDichCittadinanza-approvazione_automatic,Ministero dell'Interno,2
8,Consorzi e associazioni regionali,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
8,Consorzi e associazioni regionali,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
8,Consorzi e associazioni regionali,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,POLIZIA MUNICIPALE - Posizioni debitorie aperte,Comune di Porto Torres,0
8,Consorzi e associazioni regionali,C010-servizioVerificaDichStatoLibero-approvazione_automatica,Ministero dell'Interno,0
9,Scuole,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
9,Scuole,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,1
9,Scuole,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
9,Scuole,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
9,Scuole,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
9,Scuole,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,0
9,Scuole,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
9,Scuole,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
9,Scuole,POLIZIA MUNICIPALE - Posizioni debitorie aperte,Comune di Porto Torres,0
9,Scuole,C010-servizioVerificaDichStatoLibero-approvazione_automatica,Ministero dell'Interno,0
10,Università e AFAM,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
10,Università e AFAM,C009-servizioVerificaDichStatoFamiglia-approvazione_automati,Ministero dell'Interno,1
10,Università e AFAM,Consultazione Attestazione ISEE,Istituto Nazionale Previdenza Sociale - INPS,1
10,Università e AFAM,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
10,Università e AFAM,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
10,Università e AFAM,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
10,Università e AFAM,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,0
10,Università e AFAM,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
10,Università e AFAM,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
10,Università e AFAM,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
11,Istituti di Ricerca,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,0
11,Istituti di Ricerca,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
11,Istituti di Ricerca,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,POLIZIA MUNICIPALE - Posizioni debitorie aperte,Comune di Porto Torres,0
11,Istituti di Ricerca,C010-servizioVerificaDichStatoLibero-approvazione_automatica,Ministero dell'Interno,0
12,Stazioni Appaltanti e Gestori di pubblici servizi,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,5
12,Stazioni Appaltanti e Gestori di pubblici servizi,C001–servizioNotifica,Ministero dell'Interno,1
12,Stazioni Appaltanti e Gestori di pubblici servizi,LoginPa - Dati georeferenziazione soggetti,GEROPA SRL,1
12,Stazioni Appaltanti e Gestori di pubblici servizi,VCF2 - Verifica Booleana Codice Fiscale,Agenzia delle Entrate,1
12,Stazioni Appaltanti e Gestori di pubblici servizi,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
12,Stazioni Appaltanti e Gestori di pubblici servizi,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
12,Stazioni Appaltanti e Gestori di pubblici servizi,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,0
12,Stazioni Appaltanti e Gestori di pubblici servizi,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,0
12,Stazioni Appaltanti e Gestori di pubblici servizi,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
